State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MO,899857,898673,939806,954239,989314,1043038,1102147,1132505,1211237,1265602,1309269,1326842,1383498,1418725,1399043,1412553,1471585,1505717,1556126,1530220,1422627,1364588,1361929,1364968,1382791,1405803,1407765,1430886,1500220,1511766,1483468,1517029,1507429,1618739,1630375,1687615,1773784,1770667,1815633,1855308,1795642,1829456,1843663,1849830,1860748,1948782,1932557,1984369,1947954,1842603,1914784,1858790,1780804,1844894,1905771,1822582,1766398,1726080
MS,404939,411387,438300,473278,513324,511644,566410,579960,645521,684793,746912,786107,830744,847974,817314,771990,778923,819170,849268,877571,833876,817881,814290,819939,858698,837167,846367,868802,917601,959292,1028502,1054459,1079176,1087525,1100904,1128160,1153880,1152892,1144864,1239366,1246924,1134614,1176881,1209214,1212299,1168021,1212369,1224549,1165658,1111627,1179994,1157889,1144728,1139863,1159615,1138077,1160620,1176354
MT,227460,241691,248275,252510,263813,258824,275598,260368,280467,314298,322784,333934,342383,347660,351944,345409,365130,361105,383374,397177,360216,337187,316999,323449,359490,370198,352552,329241,341806,351807,347472,352416,346127,364199,368375,388345,394493,365367,387928,393216,407328,355696,378964,377063,399048,419478,439103,469893,456678,427046,402053,403202,395970,406672,405408,404110,404888,420636
NC,826470,858960,902745,930073,967053,1000435,1089558,1137963,1211104,1281029,1342676,1403918,1480269,1551096,1501847,1458782,1558503,1633866,1665364,1730521,1667382,1629516,1592073,1668995,1800225,1797051,1879993,1966269,2044646,2064537,2055247,2034967,2129600,2215853,2243414,2356456,2442905,2420159,2463893,2473188,2587792,2534318,2556856,2576431,2650199,2677722,2622040,2686093,2698637,2556866,2695337,2569742,2488292,2537747,2570546,2535020,2547815,2503112
ND,159415,154763,164872,170619,172006,169405,180786,185106,191968,192560,191117,195302,203742,202197,204358,206515,210442,210359,230012,237989,222373,236161,234682,230477,259557,300438,303900,302940,306556,319110,312429,322310,328612,331542,341308,349465,352427,358832,346952,374506,380598,406225,399980,399476,403042,408105,414433,437194,443699,435006,476718,529637,553657,594918,644845,612376,586429,631144
NE,307836,314944,327421,334977,347076,348616,389146,385223,422750,455912,487481,496173,509525,522129,518540,525658,554831,556876,556658,545126,507068,477613,492029,502801,506451,499912,482525,495732,535116,533925,525308,534720,523410,551179,574735,603029,634394,647540,664048,654171,655874,653448,664606,673511,685988,693602,709964,757048,795353,778840,861617,863554,853389,872746,870154,853819,868307,876032
NH,112158,119931,128225,133691,133091,131247,144764,149526,159459,176217,186601,201058,212305,216617,206500,201882,226976,230352,233236,210760,208260,200294,201336,204533,224289,233475,252309,273261,273541,272775,267416,252203,261547,261308,264405,267217,279649,279148,282018,291962,309318,306156,316032,325224,331782,324933,306183,309038,301443,297969,297207,295370,285239,305280,312018,314898,305904,317495
NJ,1301938,1361749,1460847,1501224,1538414,1569751,1667786,1768292,1841016,1896202,1977939,1970817,2079998,2122047,1981582,1883779,2070578,2005608,2020375,2032650,2042226,2026137,2064991,2087571,2184942,2137379,2200878,2276016,2293960,2354787,2245482,2274398,2357058,2365707,2480478,2476214,2479470,2499687,2449617,2561235,2471918,2447508,2479567,2508931,2554068,2652446,2533435,2666397,2594341,2372654,2411758,2425249,2249421,2317278,2351524,2295147,2211499,2134878
NM,328439,340085,376092,370467,365774,353197,375974,407731,436306,429135,458694,469511,501736,477784,476488,459396,508860,473306,475173,480612,480615,472741,465226,472744,474648,466444,454881,485504,510363,535009,595763,588050,585580,600711,588508,579994,602611,641637,633229,636567,660091,658817,656346,657701,681483,680147,686974,715359,677369,644506,652066,670413,667297,670662,680421,680091,672340,683442
NV,90994,104789,112985,123243,133731,130174,144957,150718,163400,176999,190122,201661,217655,233459,233766,238093,250239,256716,282200,296498,291313,286208,290160,300667,300567,302688,303314,330578,353306,389011,403029,415712,429520,453426,491136,505745,550731,555057,574083,594429,614707,621969,614735,639545,673679,698333,739691,732978,697145,651321,646730,633139,639066,659343,661968,651344,680144,707205
