State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
AR,DFTCB,11771,17866,14147,14781,19435,16474,18490,18692,23721,26934,31819,32001,46351,57618,60057,55721,59106,68692,71582,84801,62246,76323,76374,76508,71399,74585,68129,67814,71555,75547,73306,71951,79426,83845,92786,98981,98058,104472,108809,103470,109482,121602,126167,132162,135883,142062,137091,139234,148127,125888,135420,134027,122201,125820,122320,115187,113360,112965,Distillate Fuel Oil
AR,HLTCB,18457,19729,20197,19637,24320,21442,25160,26092,30840,38475,38823,41032,45706,40936,37440,35526,36536,33933,25307,18844,17948,13909,14954,15175,11820,13656,14244,13072,13212,14152,12827,12198,11114,12774,12509,11865,11435,11324,8561,22158,23677,22494,14924,11895,12862,10033,10220,10077,12003,10848,10280,9399,7836,8945,9990,8381,6733,6265,HGL
AR,HYTCB,10671,14854,11197,5168,5872,11291,16528,12815,31247,30115,22668,18897,17059,44172,44600,35719,20975,18684,25086,34940,17606,12913,22019,34872,28429,46323,29390,25080,28754,32176,38016,37016,34928,46486,35721,33181,28921,35906,31781,27552,24181,26331,34953,26878,36493,30822,15380,31992,45923,40921,35697,28738,20921,25329,25104,33261,32958,27117,Hydroelectric Power
AR,JFTCB,11996,11924,12836,13164,13764,11215,12023,13427,15425,13792,11885,12362,11771,10879,10973,10800,10322,10994,10418,10447,11046,9460,10949,8672,10950,11036,10442,11271,12161,10582,9246,9737,6204,5651,9069,6668,8695,8727,8665,25941,27600,5876,4500,4660,4096,7094,6706,6951,6152,4537,5588,5923,5603,6023,7787,7210,8535,8035,Jet Fuel
AR,MMTCB,77087,80317,85261,88729,90431,94143,98035,101508,107797,112911,117965,124770,135171,141429,141859,145042,152837,156422,160820,130447,139150,138185,136293,136544,143584,139765,146561,150105,155172,154486,152320,152313,154442,158816,160951,167128,167172,172724,173057,175295,173179,172911,177303,178478,179926,179015,179104,179487,172088,172420,164067,158577,159026,156131,160675,163762,169922,169287,Motor Gas excl Ethanol
AR,NNTCB,222202,215311,235477,252846,278852,277661,289632,295756,321569,349990,383478,334979,317640,327475,290102,257445,248194,234379,220898,255010,273987,265043,227389,211726,214432,199350,202982,172340,218787,251139,234465,212680,226598,232682,247187,271956,274991,264019,272888,257666,256114,231590,247899,254571,217921,216600,240885,229610,238424,248100,274774,288906,300572,288045,273009,296826,315617,317614,Natural Gas
AR,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4024,53676,42614,54759,57113,42139,85438,100093,82852,83380,117188,105042,93900,118720,94309,93599,119387,132746,118591,142032,145531,122486,140285,149100,137403,135009,121516,154356,152024,153093,161111,142864,158952,162434,148085,158663,157017,148531,162353,124816,151428,144716,140370,132736,Nuclear Electric Power
AR,P1TCB,25357,28053,29731,30751,31258,32877,38256,37035,37858,41656,40260,40245,36782,41569,37633,37021,37784,42223,44717,41706,38020,34723,32008,43012,22724,20066,18345,19375,22205,18253,16784,14862,20296,21889,19979,20741,22328,22892,21777,23000,21751,20800,31966,26563,20842,18447,24154,23135,15950,21722,25604,29802,25817,25930,27436,22982,29715,30158,Other Petroleum
AR,RETCB,48104,51144,47637,41897,42732,46425,51697,46124,64986,64813,56933,53579,53917,81723,81339,71589,62300,69746,77088,80773,69996,68248,77652,95412,91646,109251,91234,86688,92546,119759,110505,110143,112813,133803,119609,117506,118019,124045,114927,110822,108634,94001,108618,107905,112915,112547,100080,121020,125658,130201,138073,133249,123292,128454,128788,126030,123100,116203,Total Renewables
AR,RFTCB,3388,1946,4030,5908,4918,2847,2597,3277,4190,3232,5878,18593,35479,60312,66216,57126,83378,112182,108247,72628,31314,16415,10998,4799,3020,4620,5824,1667,2232,2328,1436,914,192,1393,2004,1380,1240,301,648,686,1898,9698,1422,3585,7472,1661,1403,872,618,742,128,216,80,123,65,12,6,0,Residual Fueal
AZ,BMTCB,4013,3837,3672,4028,4089,3695,3679,4180,4147,4389,4339,4526,4782,4574,4783,5414,5816,6838,7129,8291,17835,21469,21635,23644,25139,25558,24043,17521,18365,15620,13741,14585,15095,13871,14181,16652,14706,16421,12302,12492,13376,10376,9299,9556,9671,25221,25093,28976,36332,29074,30239,29100,27478,26583,31555,35410,35349,34730,Biomass
AZ,CLTCB,210,211,6291,8432,9103,7030,7373,7184,8137,8381,8623,8876,7523,9927,48359,92449,139960,179847,159980,246230,244994,319438,336245,295442,324862,342013,295888,282882,309041,353144,343415,347261,369743,389839,402390,342889,342839,369872,386770,403262,432810,424023,406479,406537,425413,428445,431985,438524,458727,413260,457909,459909,420570,454865,447849,385822,323878,334512,Coal
