,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
411,AR,BMTCB,37433.0,36290.0,36441.0,36729.0,36860.0,35134.0,35169.0,33309.0,33739.0,34698.0,34264.0,34682.0,36857.0,37551.0,36739.0,35870.0,41325.0,51062.0,52002.0,45832.0,52390.0,55336.0,55633.0,60540.0,63217.0,62928.0,61844.0,61608.0,63792.0,86235.0,71100.0,71732.0,76481.0,85912.0,82506.0,82964.0,87771.0,86884.0,81960.0,82147.0,83466.0,66816.0,72938.0,80378.0,75878.0,81287.0,84205.0,88493.0,79111.0,88519.0,101522.0,103676.0,101463.0,102209.0,102765.0,91836.0,88961.0,87835.0,Biomass
423,AR,CLTCB,356.0,275.0,160.0,135.0,186.0,163.0,111.0,104.0,132.0,0.0,0.0,51.0,50.0,2262.0,2665.0,862.0,3578.0,5244.0,22833.0,31728.0,36648.0,101935.0,125193.0,177458.0,163879.0,219791.0,224547.0,211011.0,218821.0,203343.0,212707.0,215945.0,220706.0,200450.0,222169.0,237334.0,260060.0,246786.0,254658.0,267022.0,267579.0,273982.0,255242.0,253653.0,270210.0,247169.0,256907.0,275037.0,278849.0,264083.0,293689.0,306119.0,296732.0,327099.0,339214.0,226889.0,246437.0,267591.0,Coal
431,AR,DFTCB,11771.0,17866.0,14147.0,14781.0,19435.0,16474.0,18490.0,18692.0,23721.0,26934.0,31819.0,32001.0,46351.0,57618.0,60057.0,55721.0,59106.0,68692.0,71582.0,84801.0,62246.0,76323.0,76374.0,76508.0,71399.0,74585.0,68129.0,67814.0,71555.0,75547.0,73306.0,71951.0,79426.0,83845.0,92786.0,98981.0,98058.0,104472.0,108809.0,103470.0,109482.0,121602.0,126167.0,132162.0,135883.0,142062.0,137091.0,139234.0,148127.0,125888.0,135420.0,134027.0,122201.0,125820.0,122320.0,115187.0,113360.0,112965.0,Distillate Fuel Oil
467,AR,HLTCB,18457.0,19729.0,20197.0,19637.0,24320.0,21442.0,25160.0,26092.0,30840.0,38475.0,38823.0,41032.0,45706.0,40936.0,37440.0,35526.0,36536.0,33933.0,25307.0,18844.0,17948.0,13909.0,14954.0,15175.0,11820.0,13656.0,14244.0,13072.0,13212.0,14152.0,12827.0,12198.0,11114.0,12774.0,12509.0,11865.0,11435.0,11324.0,8561.0,22158.0,23677.0,22494.0,14924.0,11895.0,12862.0,10033.0,10220.0,10077.0,12003.0,10848.0,10280.0,9399.0,7836.0,8945.0,9990.0,8381.0,6733.0,6265.0,HGL
472,AR,HYTCB,10671.0,14854.0,11197.0,5168.0,5872.0,11291.0,16528.0,12815.0,31247.0,30115.0,22668.0,18897.0,17059.0,44172.0,44600.0,35719.0,20975.0,18684.0,25086.0,34940.0,17606.0,12913.0,22019.0,34872.0,28429.0,46323.0,29390.0,25080.0,28754.0,32176.0,38016.0,37016.0,34928.0,46486.0,35721.0,33181.0,28921.0,35906.0,31781.0,27552.0,24181.0,26331.0,34953.0,26878.0,36493.0,30822.0,15380.0,31992.0,45923.0,40921.0,35697.0,28738.0,20921.0,25329.0,25104.0,33261.0,32958.0,27117.0,Hydroelectric Power
479,AR,JFTCB,11996.0,11924.0,12836.0,13164.0,13764.0,11215.0,12023.0,13427.0,15425.0,13792.0,11885.0,12362.0,11771.0,10879.0,10973.0,10800.0,10322.0,10994.0,10418.0,10447.0,11046.0,9460.0,10949.0,8672.0,10950.0,11036.0,10442.0,11271.0,12161.0,10582.0,9246.0,9737.0,6204.0,5651.0,9069.0,6668.0,8695.0,8727.0,8665.0,25941.0,27600.0,5876.0,4500.0,4660.0,4096.0,7094.0,6706.0,6951.0,6152.0,4537.0,5588.0,5923.0,5603.0,6023.0,7787.0,7210.0,8535.0,8035.0,Jet Fuel
502,AR,MMTCB,77087.0,80317.0,85261.0,88729.0,90431.0,94143.0,98035.0,101508.0,107797.0,112911.0,117965.0,124770.0,135171.0,141429.0,141859.0,145042.0,152837.0,156422.0,160820.0,130447.0,139150.0,138185.0,136293.0,136544.0,143584.0,139765.0,146561.0,150105.0,155172.0,154486.0,152320.0,152313.0,154442.0,158816.0,160951.0,167128.0,167172.0,172724.0,173057.0,175295.0,173179.0,172911.0,177303.0,178478.0,179926.0,179015.0,179104.0,179487.0,172088.0,172420.0,164067.0,158577.0,159026.0,156131.0,160675.0,163762.0,169922.0,169287.0,Motor Gas excl Ethanol
512,AR,NNTCB,222202.0,215311.0,235477.0,252846.0,278852.0,277661.0,289632.0,295756.0,321569.0,349990.0,383478.0,334979.0,317640.0,327475.0,290102.0,257445.0,248194.0,234379.0,220898.0,255010.0,273987.0,265043.0,227389.0,211726.0,214432.0,199350.0,202982.0,172340.0,218787.0,251139.0,234465.0,212680.0,226598.0,232682.0,247187.0,271956.0,274991.0,264019.0,272888.0,257666.0,256114.0,231590.0,247899.0,254571.0,217921.0,216600.0,240885.0,229610.0,238424.0,248100.0,274774.0,288906.0,300572.0,288045.0,273009.0,296826.0,315617.0,317614.0,Natural Gas
514,AR,NUETB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4024.0,53676.0,42614.0,54759.0,57113.0,42139.0,85438.0,100093.0,82852.0,83380.0,117188.0,105042.0,93900.0,118720.0,94309.0,93599.0,119387.0,132746.0,118591.0,142032.0,145531.0,122486.0,140285.0,149100.0,137403.0,135009.0,121516.0,154356.0,152024.0,153093.0,161111.0,142864.0,158952.0,162434.0,148085.0,158663.0,157017.0,148531.0,162353.0,124816.0,151428.0,144716.0,140370.0,132736.0,Nuclear Electric Power
519,AR,P1TCB,25357.0,28053.0,29731.0,30751.0,31258.0,32877.0,38256.0,37035.0,37858.0,41656.0,40260.0,40245.0,36782.0,41569.0,37633.0,37021.0,37784.0,42223.0,44717.0,41706.0,38020.0,34723.0,32008.0,43012.0,22724.0,20066.0,18345.0,19375.0,22205.0,18253.0,16784.0,14862.0,20296.0,21889.0,19979.0,20741.0,22328.0,22892.0,21777.0,23000.0,21751.0,20800.0,31966.0,26563.0,20842.0,18447.0,24154.0,23135.0,15950.0,21722.0,25604.0,29802.0,25817.0,25930.0,27436.0,22982.0,29715.0,30158.0,Other Petroleum
